.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Trial.rewardType,Total_Earned,iti_final,time.global,time.nominal,time.trial,Target_Resp.rt,participant,session,run,date,expName,frameRate,
18,1,6,179.94077519979328,Blue,1.5,1,-1,9,1.75,185.19118299987167,184.77242129994556,5.250063500367105,0.21673949994146824,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
19,1,6,185.19123169966042,Blue,1.5,0,-1,9,3.75,192.44126709969714,192.02242129994556,7.2496776999905705,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
20,1,7,192.44131239969283,Green,1.5,1,1,10,5.75,201.70801189960912,201.27242129994556,9.266342799644917,0.23377060005441308,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
21,1,7,201.7080579996109,Blue,1.5,1,-1,10,1.75,206.99101879959926,206.52242129994556,5.282602899707854,0.2335194000042975,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
22,1,6,206.99106129957363,Green,1.5,0,-1,10,1.75,212.27439329959452,211.77242129994556,5.2829843000508845,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
23,1,7,212.2744340999052,Green,2.5,1,1,11,2.75,219.54126349976286,219.02242129994556,7.266479699872434,0.23322150018066168,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
24,1,7,219.54133939975873,Blue,1.5,1,-1,11,1.75,224.80795249994844,224.27242129994556,5.266237499658018,0.23328609997406602,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
25,1,6,224.80799379991367,Blue,2.0,0,-1,11,2.25,231.07475619995967,230.52242129994556,6.266415600199252,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
26,1,7,231.07479959959164,Green,3.0,0,-1,11,5.25,241.3252625996247,240.77242129994556,10.250114700291306,,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
27,1,8,241.32530779996887,Blue,1.5,1,-1,11,3.75,248.6081664999947,248.02242129994556,7.282506700139493,0.2504672002978623,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
28,1,8,248.6082072998397,Green,2.0,1,1,12,2.25,254.87506289966404,254.27242129994556,6.266535100061446,0.2501224996522069,999,1,2,2025-02-10_08h51.42.242,MID1.0,60.07438398327463,
,,,254.87514649983495,Green,2.0,1,1,13,6.25,,,,0.23348599998280406,,,,,,,
