.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Trial.rewardType,Total_Earned,iti_final,time.global,time.nominal,time.trial,Target_Resp.rt,Total_Task_Duration,participant,session,run,date,expName,frameRate,
43,2,15,479.2793275001459,Green,1.5,1,1,8,1.75,484.5372921000235,483.72302330005914,5.257529099937528,0.3747243001125753,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
44,2,15,484.53733930015005,Blue,3.5,0,-1,8,5.75,495.78944870014675,494.97302330005914,11.251687600044534,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
45,2,15,495.78954849997535,Green,3.0,1,1,9,3.25,504.0397107999306,503.22302330005914,8.249270099913701,0.3667645000386983,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
46,2,15,504.03981580003165,Blue,1.5,0,-1,9,1.75,509.3064757999964,508.47302330005914,5.265836699865758,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
47,2,15,509.3066247999668,Blue,1.5,0,-1,9,5.75,518.5717359001283,517.7230233000591,9.264221899909899,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
48,2,15,518.5719056001399,Blue,2.0,1,-1,9,4.25,526.8225843000691,525.9730233000591,8.249820600030944,0.36916020000353456,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
49,1,15,526.8226692001335,Green,2.5,1,1,10,4.75,536.1039710999466,535.2230233000591,9.280338699929416,0.3667516999412328,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
50,1,14,536.1040485999547,Blue,1.5,0,-1,10,1.75,541.3886355999857,540.4730233000591,5.283990700030699,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
51,1,15,541.3887298000045,Blue,1.5,0,-1,10,1.75,546.6385091000702,545.7230233000591,5.249118400039151,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
52,1,15,546.6386601000559,Blue,3.0,1,-1,10,5.25,556.9047379000112,555.9730233000591,10.265084099955857,0.3663699000608176,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
53,1,15,556.9048218999524,Green,1.5,1,1,11,1.75,562.1725622999948,561.2230233000591,5.267038800055161,0.36682519991882145,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
54,1,14,562.1726649000775,Blue,1.5,0,-1,11,5.75,571.4229928001296,570.4730233000591,9.249487800057977,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
55,1,15,571.4231078999583,Green,2.0,1,1,12,4.25,579.693074400071,578.7230233000591,8.268977399915457,0.3671994998585433,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
56,1,15,579.6931642999407,Green,2.0,1,1,13,2.25,585.9553541999776,584.9730233000591,6.261409200029448,0.3638754999265075,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
57,1,14,585.9554411000572,Blue,1.5,1,-1,13,1.75,591.222357599996,590.2230233000591,5.266165400156751,0.35045209992676973,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
58,1,14,591.2224614999723,Green,2.0,1,1,14,2.25,597.5069437001366,596.4730233000591,6.283471600152552,0.3503944000694901,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
59,1,13,597.5070525000338,Blue,3.0,1,-1,14,9.25,611.7533057001419,610.7230233000591,14.245387100148946,0.3350541000254452,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
60,1,13,611.7533988999203,Green,1.5,1,1,15,1.75,617.0393958999775,615.9730233000591,5.285451199859381,0.3367471001110971,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
61,1,12,617.0394892999902,Green,2.0,1,1,16,4.25,625.3202583999373,624.2230233000591,8.280027099885046,0.31524690007790923,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
62,1,12,625.3203076999635,Green,2.0,1,1,17,8.25,637.6049695999827,636.4730233000591,12.28424539999105,0.31863199989311397,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
63,1,11,637.6050778001081,Blue,1.5,0,-1,17,1.75,642.8705160000827,641.7230233000591,5.2644505999051034,,,999,1,1,2025-02-05_16h48.46.834,MID1.0,60.14541959650493,
,,,,,,,,,,,,,,540.0049817999825,,,,,,,
