.thisTrialN,.stepSize,.intensity,time.onset,cue.color,isi_duration,.response,Target_Resp.rt,Trial.rewardType,Total_Earned,iti_base,iti_final,time.global,time.nominal,time.trial,Total_Task_Duration,participant,session,run,date,expName,frameRate,
10,2,13.0,68.03781579999486,Green,1.6565945194445737,1,0.3342771999887191,1,6,1,0.4065945194445737,72.12041670002509,72.00593155244346,4.081694499996956,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
11,2,11.0,72.12052719999338,Green,3.515787507208409,1,0.3003472000127658,1,7,1,2.265787507208409,79.91995690000476,79.78750656686029,7.798684100038372,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
12,2,11.0,79.92020870000124,Green,3.28477208740781,1,0.2976490000146441,1,8,1,2.03477208740781,87.2708222999936,87.10705074167592,7.349752000009175,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
13,2,9.0,87.27093980001519,Blue,1.6040150242782856,1,0.2690396000398323,-1,8,1,0.3540150242782856,91.25454550003633,91.06508079023249,3.9826162000535987,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
14,1,9.0,91.25465130002704,Blue,3.2474525209294356,0,,-1,8,1,1.9974525209294356,98.51994050003123,98.30998583209137,7.264467000029981,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
15,1,10.0,98.52005300001474,Green,1.50858021831764,0,,-1,8,1,0.25858021831764,102.2863438000204,102.07714626872666,3.7653902999591082,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
16,1,11.0,102.28645190002862,Blue,1.9670221114345012,0,,-1,8,1,0.7170221114345012,107.00336979998974,106.76119049159567,4.7160144000081345,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
17,1,12.0,107.00348070001928,Blue,2.9979090857287014,1,0.31780600000638515,-1,8,1,1.7479090857287014,113.77003230003174,113.50700866305309,6.765650600020308,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
18,1,12.0,113.77013960003387,Blue,2.3838008602208984,1,0.3171610000426881,-1,8,1,1.1338008602208984,119.30121120001422,119.02461038349489,5.530238299979828,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
19,1,11.0,119.3012691999902,Blue,2.9923457460131537,1,0.30112000001827255,-1,8,1,1.7423457460131537,126.03714929998387,125.7593018755212,6.735413400048856,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
20,1,11.0,126.037306800019,Blue,2.9993406372618483,1,0.30161630001384765,-1,8,1,1.7493406372618483,132.78571680001915,132.50798315004488,6.747516300005373,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
21,1,10.0,132.78582360001747,Blue,2.0228829962692902,0,,-1,8,1,0.7728829962692902,137.58575259998906,137.30374914258346,4.79907439998351,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
22,1,11.0,137.58591080002952,Blue,3.8676281762729965,1,0.3004202999873087,-1,8,1,2.6176281762729965,146.08647909999127,145.78900549512946,8.499633700004779,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
23,1,11.0,146.08663690002868,Green,2.2065638763525923,0,,-1,8,1,0.9565638763525923,151.25335970002925,150.95213324783464,5.165588599978946,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
24,1,12.0,151.25346780003747,Green,2.916204562697974,1,0.3163979000528343,1,9,1,1.666204562697974,157.83708620001562,157.53454237323058,6.582707799971104,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
25,1,12.0,157.83719789999304,Green,1.6519039756663874,1,0.3152989000082016,1,10,1,0.40190397566638736,161.92092310002772,161.58835032456335,4.0828692999784835,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
26,1,11.0,161.92108170001302,Blue,1.7241532915271016,0,,-1,10,1,0.4741532915271016,166.1360875000246,165.78665690761756,4.214155699999537,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
27,1,12.0,166.13619799999287,Blue,3.1311027308530552,0,,-1,10,1,1.8811027308530552,173.1694029000355,172.79886236932367,7.032395100046415,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
28,1,13.0,173.1695141000091,Green,3.4099073793171097,1,0.3341539000393823,1,11,1,2.1599073793171097,180.73561939998763,180.36867712795788,7.565175499999896,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
29,1,13.0,180.73573000001488,Green,3.7737123834253974,1,0.3334245000150986,1,12,1,2.5237123834253974,189.05246490001446,188.66610189480866,8.31589739996707,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
30,1,12.0,189.05262430000585,Blue,1.818007160436732,0,,-1,12,1,0.568007160436732,193.45299319998594,193.05211621568213,4.39939500001492,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
31,1,13.0,193.45313099998748,Blue,2.386985477303586,1,0.3342083999887109,-1,12,1,1.1369854773035861,198.98558800003957,198.57608717028933,5.531509199994616,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
32,1,13.0,198.9856950000394,Green,2.0026753187624973,0,,-1,12,1,0.7526753187624973,203.76834310003323,203.33143780781432,4.781780600023922,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
33,1,14.0,203.76842169999145,Green,1.8942489567478726,0,,-1,12,1,0.6442489567478726,208.3192737000063,207.86993572131007,4.550301200011745,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
34,1,15.0,208.31942110002274,Blue,2.331932789917211,0,,-1,12,1,1.0819327899172109,213.75310259999242,213.28380130114448,5.432871499971952,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
35,1,15,213.75321950000944,Blue,1.5055585340018096,0,,-1,12,1,0.2555585340018096,217.53464480000548,217.0449183691481,3.780538799997885,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
36,1,15,217.53472490003332,Blue,3.659139999379454,1,0.3687884000246413,-1,12,1,2.409139999379454,225.62002690002555,225.113198367907,8.084733199968468,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
37,1,15,225.62017180002294,Blue,2.45024289631101,1,0.3687917999923229,-1,12,1,1.20024289631101,231.28734720003558,230.763684160529,5.66621729999315,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
38,1,14,231.2874632999883,Green,2.921110253410092,1,0.350406700046733,1,13,1,1.6711102534100921,237.90266540000448,237.3559046673492,6.614289699995425,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
39,1,14,237.90279220003868,Green,3.5447458524813285,1,0.3513180000009015,1,14,1,2.2947458524813285,245.75309650000418,245.19539637231185,7.849310099962167,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
40,1,13,245.75320139998803,Green,2.6834996367425887,1,0.33295160002307966,1,15,1,1.4334996367425887,251.90300240000943,251.31239564579704,6.148938800033648,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
41,1,13,251.90316440002061,Green,2.5320185426015795,0,,-1,15,1,1.2820185426015795,257.7364203000325,257.1264327310002,5.832394099968951,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
42,1,14,257.73652490001405,Green,2.1278100207186954,1,0.3504969999776222,1,16,1,0.8778100207186954,262.7508079999825,262.1320527724376,5.013399599993136,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
43,1,14,262.7508920999826,Blue,3.4133171686816035,0,,-1,16,1,2.1633171686816035,270.3532042999868,269.7086871098008,7.601807500002906,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
44,1,15,270.35335540003143,Green,3.8730644337546143,1,0.36607550003100187,1,17,1,2.6230644337546143,278.8505320000113,278.20481597731003,8.496247700008098,,216,prac,prac,2025-01-27_14h17.02.042,MID1.0,60.17006466986649,
,,,,,,,,,,,,,,,300.00289530004375,,,,,,,
